model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,DISPUTED,wrong_layer,frozen_dim,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,wrong_layer,frozen_dim,0.5,203,108,-1.3032635459171726,0.6361882691214114,0.546391536700137,0.7356867228416195,0.0492610837438423
gemma,DISPUTED,wrong_layer,frozen_dim,1.0,203,108,-0.6637931081461789,1.2818286974488953,1.118090509172575,1.4601827654527657,0.083743842364532
gemma,DISPUTED,wrong_layer,frozen_dim,2.0,203,108,0.8820812802009395,2.8123070927865714,2.448193956989749,3.172131793187172,0.1921182266009852
llama,ALL,dim,frozen_dim,-2.0,500,125,-3.007749996602535,-1.5742499977350235,-1.6779999901607634,-1.4667500015780328,0.086
llama,ALL,dim,frozen_dim,-1.0,500,125,-2.2279999978542326,-0.7944999989867211,-0.8459999990612269,-0.7422437494412065,0.054
llama,ALL,dim,frozen_dim,-0.5,500,125,-1.8253749986886976,-0.391874999821186,-0.4172499988779425,-0.3668750014469027,0.026
llama,ALL,dim,frozen_dim,0.0,500,125,-1.4334999988675117,0.0,0.0,0.0,0.0
llama,ALL,dim,frozen_dim,0.5,500,125,-1.0552499992847442,0.3782499995827675,0.3539937496110797,0.4040000004306435,0.03
llama,ALL,dim,frozen_dim,1.0,500,125,-0.6892499993443489,0.7442499995231628,0.6987499997884035,0.7890000029399991,0.054
llama,ALL,dim,frozen_dim,2.0,500,125,-0.0082499986290931,1.4252500002384183,1.339743749010563,1.5115062518149611,0.12
llama,ALL,opposite_dim,negative_frozen_dim,-2.0,500,125,-0.0082499986290931,1.4252500002384183,1.3377437479510903,1.5105062489286063,0.12
llama,ALL,opposite_dim,negative_frozen_dim,-1.0,500,125,-0.6892499993443489,0.7442499995231628,0.6982437471881509,0.7902499981552362,0.054
llama,ALL,opposite_dim,negative_frozen_dim,-0.5,500,125,-1.0552499992847442,0.3782499995827675,0.3550000005841255,0.4024999998629093,0.03
llama,ALL,opposite_dim,negative_frozen_dim,0.0,500,125,-1.4334999988675117,0.0,0.0,0.0,0.0
llama,ALL,opposite_dim,negative_frozen_dim,0.5,500,125,-1.8253749986886976,-0.391874999821186,-0.4193781255021691,-0.3663718734875322,0.026
